customerNumber,customerName,contactLastName,contactFirstName,city,postalCode,country,salesRepEmployeeNumber,creditLimit
103,Atelier graphique,Schmitt,Carine ,Nantes,44000,France,1370,21000
112,Signal Gift Stores,King,Jean,Las Vegas,83030,USA,1166,71800
114,"Australian Collectors, Co.",Ferguson,Peter,Melbourne,3004,Australia,1611,117300
119,La Rochelle Gifts,Labrune,Janine ,Nantes,44000,France,1370,118200
121,Baane Mini Imports,Bergulfsen,Jonas ,Stavern,4110,Norway,1504,81700
124,Mini Gifts Distributors Ltd.,Nelson,Susan,San Rafael,97562,USA,1165,210500
125,Havel & Zbyszek Co,Piestrzeniewicz,Zbyszek ,Warszawa,01-012,Poland,1165,0
128,"Blauer See Auto, Co.",Keitel,Roland,Frankfurt,60528,Germany,1504,59700
129,Mini Wheels Co.,Murphy,Julie,San Francisco,94217,USA,1165,64600
131,Land of Toys Inc.,Lee,Kwai,NYC,10022,USA,1323,114900
141,Euro+ Shopping Channel,Freyre,Diego ,Madrid,28034,Spain,1370,227600
144,"Volvo Model Replicas, Co",Berglund,Christina ,Luleå,S-958 22,Sweden,1504,53100
145,Danish Wholesale Imports,Petersen,Jytte ,Kobenhavn,1734,Denmark,1401,83400
146,"Saveley & Henriot, Co.",Saveley,Mary ,Lyon,69004,France,1337,123900
148,"Dragon Souveniers, Ltd.",Natividad,Eric,Singapore,79903,Singapore,1621,103800
151,Muscle Machine Inc,Young,Jeff,NYC,10022,USA,1286,138500
157,Diecast Classics Inc.,Leong,Kelvin,Allentown,70267,USA,1216,100600
161,Technics Stores Inc.,Hashimoto,Juri,Burlingame,94217,USA,1165,84600
166,Handji Gifts& Co,Victorino,Wendy,Singapore,69045,Singapore,1612,97900
167,Herkku Gifts,Oeztan,Veysel,Bergen,N 5804,Norway  ,1504,96800
168,American Souvenirs Inc,Franco,Keith,New Haven,97823,USA,1286,0
169,Porto Imports Co.,de Castro,Isabel ,Lisboa,1756,Portugal,1286,0
171,Daedalus Designs Imports,Rancé,Martine ,Lille,59000,France,1370,82900
172,"La Corne D'abondance, Co.",Bertrand,Marie,Paris,75012,France,1337,84300
173,Cambridge Collectables Co.,Tseng,Jerry,Cambridge,51247,USA,1188,43400
175,Gift Depot Inc.,King,Julie,Bridgewater,97562,USA,1323,84300
177,Osaka Souveniers Co.,Kentary,Mory,Kita-ku, 530-0003,Japan,1621,81200
181,Vitachrome Inc.,Frick,Michael,NYC,10022,USA,1286,76400
186,"Toys of Finland, Co.",Karttunen,Matti,Helsinki,21240,Finland,1501,96500
187,"AV Stores, Co.",Ashworth,Rachel,Manchester,EC2 5NT,UK,1501,136800
189,"Clover Collections, Co.",Cassidy,Dean,Dublin,2,Ireland,1504,69400
198,Auto-Moto Classics Inc.,Taylor,Leslie,Brickhaven,58339,USA,1216,23000
201,"UK Collectables, Ltd.",Devon,Elizabeth,Liverpool,WX1 6LT,UK,1501,92700
202,Canadian Gift Exchange Network,Tamuri,Yoshi ,Vancouver,V3F 2K1,Canada,1323,90300
204,Online Mini Collectables,Barajas,Miguel,Brickhaven,58339,USA,1188,68700
205,Toys4GrownUps.com,Young,Julie,Pasadena,90003,USA,1166,90700
206,"Asian Shopping Network, Co",Walker,Brydey,Singapore,38988,Singapore,1166,0
209,Mini Caravy,Citeaux,Frédérique ,Strasbourg,67000,France,1370,53800
211,"King Kong Collectables, Co.",Gao,Mike,Central Hong Kong,67000,Hong Kong,1621,58600
216,Enaco Distributors,Saavedra,Eduardo ,Barcelona,8022,Spain,1702,60300
219,Boards & Toys Co.,Young,Mary,Glendale,92561,USA,1166,11000
223,Natürlich Autos,Kloss,Horst ,Cunewalde,1307,Germany,1166,0
227,Heintze Collectables,Ibsen,Palle,Århus,8200,Denmark,1401,120800
233,Québec Home Shopping Network,Fresnière,Jean ,Montréal,H1J 1C3,Canada,1286,48700
237,ANG Resellers,Camino,Alejandra ,Madrid,28001,Spain,1286,0
239,Collectable Mini Designs Co.,Thompson,Valarie,San Diego,91217,USA,1166,105000
240,giftsbymail.co.uk,Bennett,Helen ,Cowes,PO31 7PJ,UK,1501,93900
242,Alpha Cognac,Roulet,Annette ,Toulouse,31000,France,1370,61100
247,Messner Shopping Network,Messner,Renate ,Frankfurt,60528,Germany,1370,0
249,Amica Models & Co.,Accorti,Paolo ,Torino,10100,Italy,1401,113000
250,Lyon Souveniers,Da Silva,Daniel,Paris,75508,France,1337,68100
256,Auto Associés & Cie.,Tonini,Daniel ,Versailles,78000,France,1370,77900
259,"Toms Spezialitäten, Ltd",Pfalzheim,Henriette ,Köln,50739,Germany,1504,120400
260,"Royal Canadian Collectables, Ltd.",Lincoln,Elizabeth ,Tsawassen,T2F 8M4,Canada,1323,89600
273,"Franken Gifts, Co",Franken,Peter ,München,80805,Germany,1323,0
276,"Anna's Decorations, Ltd",O'Hara,Anna,North Sydney,2060,Australia,1611,107800
278,Rovelli Gifts,Rovelli,Giovanni ,Bergamo,24100,Italy,1401,119600
282,Souveniers And Things Co.,Huxley,Adrian,Chatswood,2067,Australia,1611,93300
286,Marta's Replicas Co.,Hernandez,Marta,Cambridge,51247,USA,1216,123700
293,BG&E Collectables,Harrison,Ed,Fribourg,1700,Switzerland,1165,0
298,"Vida Sport, Ltd",Holz,Mihael,Genève,1203,Switzerland,1702,141300
299,"Norway Gifts By Mail, Co.",Klaeboe,Jan,Oslo,N 0106,Norway  ,1504,95100
303,Schuyler Imports,Schuyler,Bradley,Amsterdam,1043 GR,Netherlands,1504,0
307,Der Hund Imports,Andersen,Mel,Berlin,12209,Germany,1504,0
311,"Oulu Toy Supplies, Inc.",Koskitalo,Pirkko,Oulu,90110,Finland,1501,90500
314,Petit Auto,Dewey,Catherine ,Bruxelles,B-1180,Belgium,1401,79900
319,Mini Classics,Frick,Steve,White Plains,24067,USA,1323,102700
320,Mini Creations Ltd.,Huang,Wing,New Bedford,50553,USA,1188,94500
321,Corporate Gift Ideas Co.,Brown,Julie,San Francisco,94217,USA,1165,105000
323,"Down Under Souveniers, Inc",Graham,Mike,Auckland  ,94217,New Zealand,1612,88000
324,"Stylish Desk Decors, Co.",Brown,Ann ,London,WX3 6FW,UK,1501,77000
328,Tekni Collectables Inc.,Brown,William,Newark,94019,USA,1323,43000
333,"Australian Gift Network, Co",Calaghan,Ben,South Brisbane,4101,Australia,1611,51600
334,Suominen Souveniers,Suominen,Kalle,Espoo,FIN-02271,Finland,1501,98800
335,"Cramer Spezialitäten, Ltd",Cramer,Philip ,Brandenburg,14776,Germany,1502,0
339,"Classic Gift Ideas, Inc",Cervantes,Francisca,Philadelphia,71270,USA,1188,81100
