employeeNumber,lastName,firstName,email,officeCode,reportsTo,jobTitle
1002,Murphy,Diane,dmurphy@classicmodelcars.com,1,1002,President
1056,Patterson,Mary,mpatterso@classicmodelcars.com,1,1002,VP Sales
1076,Firrelli,Jeff,jfirrelli@classicmodelcars.com,1,1002,VP Marketing
1088,Patterson,William,wpatterson@classicmodelcars.com,6,1056,Sales Manager (APAC)
1102,Bondur,Gerard,gbondur@classicmodelcars.com,4,1056,Sale Manager (EMEA)
1143,Bow,Anthony,abow@classicmodelcars.com,1,1056,Sales Manager (NA)
1165,Jennings,Leslie,ljennings@classicmodelcars.com,1,1143,Sales Rep
1166,Thompson,Leslie,lthompson@classicmodelcars.com,1,1143,Sales Rep
1188,Firrelli,Julie,jfirrelli@classicmodelcars.com,2,1143,Sales Rep
1216,Patterson,Steve,spatterson@classicmodelcars.com,2,1143,Sales Rep
1286,Tseng,Foon Yue,ftseng@classicmodelcars.com,3,1143,Sales Rep
1323,Vanauf,George,gvanauf@classicmodelcars.com,3,1143,Sales Rep
1337,Bondur,Loui,lbondur@classicmodelcars.com,4,1102,Sales Rep
1370,Hernandez,Gerard,ghernande@classicmodelcars.com,4,1102,Sales Rep
1401,Castillo,Pamela,pcastillo@classicmodelcars.com,4,1102,Sales Rep
1501,Bott,Larry,lbott@classicmodelcars.com,7,1102,Sales Rep
1504,Jones,Barry,bjones@classicmodelcars.com,7,1102,Sales Rep
1611,Fixter,Andy,afixter@classicmodelcars.com,6,1088,Sales Rep
1612,Marsh,Peter,pmarsh@classicmodelcars.com,6,1088,Sales Rep
1619,King,Tom,tking@classicmodelcars.com,6,1088,Sales Rep
1621,Nishi,Mami,mnishi@classicmodelcars.com,5,1056,Sales Rep
1625,Kato,Yoshimi,ykato@classicmodelcars.com,5,1621,Sales Rep
1702,Gerard,Martin,mgerard@classicmodelcars.com,4,1102,Sales Rep
